Chemical,Conc,Reference
a,500,VanDam2021
a,1800,VanDam2021
a,120,VanDam2021
a,490,VanDam2021
a,4,VanDam2021
a,16,VanDam2021
a,6250,VanDam2021
a,100,VanDam2021
a,7800,VanDam2021
a,7990,VanDam2021
a,1360,VanDam2021
a,4000,VanDam2021
a,1800,VanDam2021
a,36.4,VanDam2021
a,492,VanDam2021
a,50,VanDam2021
a,200,VanDam2021
a,1600,VanDam2021
c,32,VanDam2021
c,17020,VanDam2021
c,143000,VanDam2021
c,470,VanDam2021
c,14,VanDam2021
c,248,VanDam2021
c,7.7,VanDam2021
c,20,VanDam2021
c,20,VanDam2021
c,20,VanDam2021
c,500,VanDam2021
c,500,VanDam2021
c,500,VanDam2021
c,500,VanDam2021
c,500,VanDam2021
c,13000,VanDam2021
d,8944,VanDam2021
d,10000,VanDam2021
d,1650,VanDam2021
d,2700,VanDam2021
d,11800,VanDam2021
d,4800,VanDam2021
d,140,VanDam2021
d,229,VanDam2021
d,236,VanDam2021
d,550,VanDam2021
d,2226,VanDam2021
d,5530,VanDam2021
b,1,VanDam2021
b,2.6,VanDam2021
b,5.1,VanDam2021
b,8.4,VanDam2021
b,13.8,VanDam2021
b,15.2,VanDam2021
b,20.7,VanDam2021
b,31.8,VanDam2021
b,114,VanDam2021
b,125,VanDam2021
e,11.2,fox2020
e,17,fox2020
e,3.4,fox2020
e,5.5,fox2020
e,20,fox2020
e,1376,fox2020
e,0.8,fox2020
e,8200,fox2020
e,3000,fox2020
e,29050,fox2020
e,11290,fox2020
e,7116,fox2020
e,13000,fox2020
e,16400,fox2020
e,16280,fox2020
e,7100,fox2020
e,100,fox2020
